93 usable obs80 program codes:

0123456789!"#$%&'()*+,-./[\]^_`{|}~:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz

obs80    integer     ADES
0           0         00
1           1         01
2           2         02
3           3         03
4           4         04
5           5         05
6           6         06
7           7         07
8           8         08
9           9         09
!          10         0A
"          11         0B
#          12         0C
$          13         0D
%          14         0E
&          15         0F
'          16         0G
(          17         0H
)          18         0I
*          19         0J
+          20         0K
,          21         0L
-          22         0M
.          23         0N
/          24         0O
[          25         0P
\          26         0Q
]          27         0R
^          28         0S
_          29         0T
`          30         0U
{          31         0V
|          32         0W
}          33         0X
~          34         0Y
:          35         0Z
;          36         0a
<          37         0b
=          38         0c
>          39         0d
?          40         0e
@          41         0f
A          42         0g
B          43         0h
C          44         0i
D          45         0j
E          46         0k
F          47         0l
G          48         0m
H          49         0n
I          50         0o
J          51         0p
K          52         0q
L          53         0r
M          54         0s
N          55         0t
O          56         0u
P          57         0v
Q          58         0w
R          59         0x
S          60         0y
T          61         0z
U          62         10
V          63         11
W          64         12
X          65         13
Y          66         14
Z          67         15
a          68         16
b          69         17
c          70         18
d          71         19
e          72         1A
f          73         1B
g          74         1C
h          75         1D
i          76         1E
j          77         1F
k          78         1G
l          79         1H
m          80         1I
n          81         1J
o          82         1K
p          83         1L
q          84         1M
r          85         1N
s          86         1O
t          87         1P
u          88         1Q
v          89         1R
w          90         1S
x          91         1T
y          92         1U
z          93         1V
           94         1W
           95         1X
           96         1Y
           97         1Z
           98         1a
           99         1b
          100         1c
          101         1d
          102         1e
          103         1f
          104         1g
          105         1h
          106         1i
          107         1j
          108         1k
          109         1l
          110         1m
          111         1n
          112         1o
          113         1p
          114         1q
          115         1r
          116         1s
          117         1t
          118         1u
          119         1v
          120         1w
          121         1x
          122         1y
          123         1z
	  124         20
	  125         21
	  126         22
	  127         23
	  128         24
	  129         25
	  130         26
	  131         27
	  132         28
	  133         29
	  134         2A
	  135         2B
	  136         2C
	  137         2D
	  138         2E
	  139         2F
	  140         2G
	  141         2H
	  142         2I
	  143         2J
	  144         2K
	  145         2L
	  146         2M
	  147         2N
	  148         2O
	  149         2P
	  150         2Q
	  151         2R
	  152         2S
	  153         2T
	  154         2U
	  155         2V
	  156         2W
	  157         2X
	  158         2Y
	  159         2Z
	  160         2a
	  161         2b
	  162         2c
	  163         2d
	  164         2e
	  165         2f
	  166         2g
	  167         2h
	  168         2i
	  169         2j
	  170         2k
	  171         2l
	  172         2m
	  173         2n
	  174         2o
	  175         2p
	  176         2q
	  177         2r
	  178         2s
	  179         2t
	  180         2u
	  181         2v
	  182         2w
	  183         2x
	  184         2y
	  185         2z
           [...snip...]
         3841         zx
         3842         zy
         3843         zz
